index,Cross Entropy,Accuracy
971,0.0365509,0.997382
972,0.0365222,0.997382
973,0.0364936,0.997382
974,0.036465,0.997431
975,0.0364364,0.997431
976,0.0364079,0.997431
977,0.0363795,0.997431
978,0.0363511,0.997431
979,0.0363227,0.997431
980,0.0362944,0.997431
981,0.0362662,0.997431
982,0.0362379,0.997431
983,0.0362098,0.997431
984,0.0361817,0.997431
985,0.0361536,0.997431
986,0.0361256,0.997431
987,0.0360976,0.997431
988,0.0360696,0.997431
989,0.0360418,0.997431
990,0.0360139,0.997431
991,0.0359861,0.997431
992,0.0359584,0.99753
993,0.0359307,0.99753
994,0.035903,0.99753
995,0.0358754,0.99753
996,0.0358478,0.99753
997,0.0358203,0.99753
998,0.0357928,0.99753
999,0.0357654,0.99753
1000,0.035738,0.99753
1001,0.0357107,0.99753
1002,0.0356834,0.99753
1003,0.0356561,0.99753
1004,0.0356289,0.99753
1005,0.0356017,0.99753
1006,0.0355746,0.99753
1007,0.0355475,0.99753
1008,0.0355205,0.99753
1009,0.0354935,0.99753
1010,0.0354666,0.997579
1011,0.0354397,0.997579
1012,0.0354128,0.997579
1013,0.035386,0.997579
1014,0.0353592,0.997579
1015,0.0353325,0.997579
1016,0.0353058,0.997579
1017,0.0352792,0.997579
1018,0.0352526,0.997579
1019,0.035226,0.997579
1020,0.0351995,0.997579
1021,0.035173,0.997579
1022,0.0351466,0.997579
1023,0.0351202,0.997579
1024,0.0350939,0.997629
1025,0.0350676,0.997629
1026,0.0350413,0.997629
1027,0.0350151,0.997629
1028,0.0349889,0.997629
1029,0.0349628,0.997629
1030,0.0349367,0.997629
1031,0.0349106,0.997629
1032,0.0348846,0.997629
1033,0.0348587,0.997629
1034,0.0348327,0.997629
1035,0.0348069,0.997629
1036,0.034781,0.997629
1037,0.0347552,0.997629
1038,0.0347294,0.997629
1039,0.0347037,0.997629
1040,0.034678,0.997629
1041,0.0346524,0.997629
1042,0.0346268,0.997629
1043,0.0346013,0.997629
1044,0.0345757,0.997629
1045,0.0345503,0.997629
1046,0.0345248,0.997629
1047,0.0344994,0.997629
1048,0.0344741,0.997629
1049,0.0344487,0.997629
1050,0.0344235,0.997629
1051,0.0343982,0.997629
1052,0.034373,0.997629
1053,0.0343479,0.997629
1054,0.0343227,0.997629
1055,0.0342977,0.997629
1056,0.0342726,0.997629
1057,0.0342476,0.997629
1058,0.0342227,0.997629
1059,0.0341977,0.997629
1060,0.0341728,0.997629
1061,0.034148,0.997629
1062,0.0341232,0.997629
1063,0.0340984,0.997629
1064,0.0340737,0.997629
1065,0.034049,0.997629
1066,0.0340243,0.997629
1067,0.0339997,0.997629
1068,0.0339752,0.997629
1069,0.0339506,0.997629
1070,0.0339261,0.997629
1071,0.0339016,0.997629
1072,0.0338772,0.997629
1073,0.0338528,0.997629
1074,0.0338285,0.997678
1075,0.0338042,0.997678
1076,0.0337799,0.997678
1077,0.0337556,0.997678
1078,0.0337314,0.997678
1079,0.0337073,0.997678
1080,0.0336832,0.997678
1081,0.0336591,0.997678
1082,0.033635,0.997678
1083,0.033611,0.997678
1084,0.033587,0.997678
1085,0.0335631,0.997678
